2633,CHAMA
2634,Chongwe District
2635,CHADIZA
2636,Kitwe District
2637,Kabuta District
2638,Nchenlenge District
2639,NGABWE
2640,chipata
2641,Mununga District
2642,CHAMA
2643,Chongwe District
2644,CHADIZA
2645,CHAMA
2646,CHADIZA
2647,CHADIZA
2648,Kalomo District
2649,Kalomo District
2650,chipata
2651,Chongwe District
2652,Kasama
2654,Chongwe District
2655,Kasama
2656,Luampa
2658,NGABWE
2659,Kafue District
2660,Kalomo District
2661,Kafue District
2662,NGABWE
2663,Chongwe District
2664,CHADIZA
2665,Luampa
2666,CHADIZA
2667,Kitwe District
2668,Kasama
2669,Nyimba
2670,Kafue District
2671,chipata
2672,Kitwe District
2673,Kasama
2674,Mununga District
2675,chipata
2676,Kasama
2677,Mununga District
2678,Chongwe District
2679,Luampa
2680,Kalomo District
2681,Kafue District
2682,CHAMA
2683,Kitwe District
2685,CHAMA
2687,NGABWE
2688,Kasama
2689,Kasama
2690,CHADIZA
2691,Chongwe District
2692,Kafue District
2693,Chongwe District
2694,chipata
2695,CHAMA
2696,Chongwe District
2697,chipata
2698,Kalomo District
2699,Nyimba
2700,Kasama
2701,Chongwe District
2702,CHAMA
2703,CHADIZA
2704,Kitwe District
2705,Kalomo District
2706,chipata
2707,chipata
2708,NGABWE
